Carrier,OriginAirportID,DestAirportID,OriginAirportName,DestAirportName,OriginState,DestState,OriginCity,DestCity,DepDelay,ArrDelay
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,11,3
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,29,97
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,0,-5
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,4,2
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,21,4
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,30,16
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,52,39
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,4,-9
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,11,-16
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,1,-11
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,1,-17
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,-2,-23
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,56,38
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,1,-20
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,0,-13
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,2,-17
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,0,-8
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,115,113
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,11,6
AA,11298,13303,Dallas/Fort Worth International,Miami International,TX,FL,Dallas/Fort Worth,Miami,-3,1
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-2,-20
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-5,31
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,-27
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-6,-18
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-2,-16
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,169,203
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,6,-3
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,7,-4
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,6,7
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,-14
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,135,134
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-2,-12
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-3,-5
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-2,-5
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,5,-5
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,-4
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,-7
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-3,-3
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,0,11
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,4
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,4,6
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-2,9
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-3,-1
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-3,-12
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,108,102
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-4,0
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,-5,-4
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,0,9
AA,13303,12266,Miami International,George Bush Intercontinental/Houston,FL,TX,Miami,Houston,0,5
AA,14635,13930,Southwest Florida International,Chicago O'Hare International,FL,IL,Fort Myers,Chicago,-1,1
AA,14635,13930,Southwest Florida International,Chicago O'Hare International,FL,IL,Fort Myers,Chicago,4,26
AA,14635,13930,Southwest Florida International,Chicago O'Hare International,FL,IL,Fort Myers,Chicago,-7,-6
